id,age,count
527,-14,225
527,-13,568
527,-12,872
527,-11,2538
527,-10,1903
527,-9,1520
527,-8,2194
527,-7,1969
527,-6,2022
527,-5,4745
527,-4,3806
527,-3,3000
527,-2,3450
527,-1,2287
529,-20,35
529,-19,901
529,-18,277
529,-17,277
529,-16,347
529,-15,208
529,-14,243
529,-13,312
529,-12,208
529,-11,901
529,-10,555
529,-9,347
529,-8,208
529,-7,173
529,-6,451
529,-5,208
529,-4,589
529,-3,1144
529,-2,832
529,-1,451
530,-20,37
530,-19,636
530,-18,374
530,-17,262
530,-16,562
530,-15,150
530,-14,37
530,-13,337
530,-12,487
530,-11,936
530,-10,636
530,-9,562
530,-8,374
530,-7,262
530,-6,524
530,-5,786
530,-4,1123
530,-3,1872
530,-2,599
530,-1,412
533,-20,15
533,-19,136
533,-18,106
533,-17,91
533,-16,60
533,-15,76
533,-13,60
533,-12,76
533,-11,136
533,-10,136
533,-9,121
533,-8,15
533,-7,30
533,-6,45
533,-5,136
533,-4,166
533,-3,317
533,-2,378
533,-1,302
535,-20,43
535,-19,554
535,-18,213
535,-17,171
535,-16,85
535,-15,149
535,-14,107
535,-13,128
535,-12,341
535,-11,192
535,-10,234
535,-9,85
535,-8,234
535,-7,43
535,-6,149
535,-5,107
535,-4,362
535,-3,618
535,-2,512
535,-1,256
542,-19,598
542,-18,239
542,-17,518
542,-16,598
542,-15,359
542,-14,199
542,-13,160
542,-12,199
542,-11,199
542,-10,239
542,-9,199
542,-8,199
542,-7,239
542,-6,319
542,-5,558
542,-4,279
542,-3,359
542,-2,917
542,-1,558
546,-19,162
546,-18,97
546,-17,32
546,-16,65
546,-13,130
546,-12,195
546,-11,65
546,-10,130
546,-3,260
546,-2,32
546,-1,32
550,-20,1817
550,-19,5134
550,-18,1363
550,-17,1772
550,-16,1545
550,-15,772
550,-14,454
550,-13,954
550,-12,1363
550,-11,2090
550,-10,2408
550,-9,863
550,-8,909
550,-7,999
550,-6,1090
550,-5,1181
550,-4,1090
550,-3,2090
550,-2,1408
550,-1,772
551,-20,372
551,-19,1375
551,-18,297
551,-17,297
551,-16,111
551,-15,223
551,-14,260
551,-13,74
551,-12,186
551,-11,149
551,-10,111
551,-9,186
551,-8,223
551,-7,149
551,-6,111
551,-5,334
551,-4,111
551,-3,223
551,-2,186
551,-1,186
567,-19,390
567,-18,244
567,-17,195
567,-16,146
567,-15,244
567,-14,146
567,-13,146
567,-12,146
567,-11,1658
567,-10,1317
567,-9,829
567,-8,195
567,-6,195
567,-5,244
567,-4,488
567,-3,878
567,-2,780
567,-1,634
573,-20,2
573,-19,7
573,-18,8
573,-17,7
573,-16,7
573,-15,7
573,-14,3
573,-13,5
573,-12,7
573,-11,8
573,-10,5
573,-9,15
573,-8,10
573,-7,5
573,-6,10
573,-5,3
573,-4,20
573,-3,12
573,-2,29
573,-1,30
597,-19,253
597,-18,145
597,-17,181
597,-16,217
597,-15,36
597,-14,109
597,-13,109
597,-12,72
597,-11,72
597,-10,326
597,-9,290
597,-8,253
597,-7,36
597,-6,72
597,-5,181
597,-4,253
597,-3,652
597,-2,326
597,-1,507
603,-20,48
603,-19,121
603,-18,169
603,-17,169
603,-16,48
603,-15,96
603,-13,96
603,-12,169
603,-11,121
603,-10,96
603,-9,96
603,-7,24
603,-6,169
603,-5,72
603,-4,289
603,-3,241
603,-2,458
603,-1,289
607,-19,142
607,-18,24
607,-17,118
607,-16,47
607,-15,24
607,-14,24
607,-13,47
607,-12,95
607,-11,166
607,-10,47
607,-9,24
607,-8,71
607,-7,71
607,-6,24
607,-5,95
607,-4,95
607,-3,284
607,-2,166
607,-1,118
613,-20,39
613,-19,553
613,-18,355
613,-17,434
613,-16,434
613,-15,197
613,-14,276
613,-13,276
613,-12,434
613,-11,789
613,-10,908
613,-9,197
613,-8,158
613,-7,276
613,-6,395
613,-5,631
613,-4,592
613,-3,1105
613,-2,1737
613,-1,908
634,-19,18
634,-18,18
634,-17,37
634,-16,37
634,-15,55
634,-14,55
634,-7,18
634,-5,18
634,-4,55
634,-2,18
634,-1,37
646,-19,765
646,-18,340
646,-17,255
646,-16,340
646,-15,213
646,-14,128
646,-13,510
646,-12,468
646,-11,935
646,-10,340
646,-9,213
646,-8,128
646,-7,425
646,-6,213
646,-5,298
646,-4,128
646,-3,1063
646,-2,978
646,-1,680
655,-20,348
655,-19,2533
655,-18,1590
655,-17,1590
655,-16,2384
655,-15,2831
655,-14,695
655,-13,745
655,-12,1788
655,-11,2235
655,-10,1739
655,-9,1987
655,-8,795
655,-7,745
655,-6,1093
655,-5,944
655,-4,1788
655,-3,3874
655,-2,2881
655,-1,2732
657,-20,27
657,-19,273
657,-18,27
657,-17,219
657,-15,27
657,-14,82
657,-13,82
657,-12,137
657,-11,301
657,-10,219
657,-9,55
657,-7,55
657,-6,55
657,-5,301
657,-4,219
657,-3,273
657,-2,273
657,-1,137
658,-20,38
658,-19,133
658,-18,38
658,-17,95
658,-16,76
658,-15,57
658,-14,38
658,-13,19
658,-12,95
658,-11,172
658,-10,95
658,-9,57
658,-7,19
658,-6,38
658,-5,152
658,-4,95
658,-3,343
658,-2,191
658,-1,267
659,-20,63
659,-19,203
659,-18,47
659,-17,63
659,-16,16
659,-15,16
659,-14,16
659,-12,110
659,-11,94
659,-10,110
659,-9,31
659,-8,47
659,-7,16
659,-6,94
659,-5,78
659,-4,110
659,-3,188
659,-2,203
659,-1,172
662,-20,411
662,-19,1370
662,-18,365
662,-17,228
662,-16,320
662,-15,411
662,-13,457
662,-12,640
662,-11,365
662,-10,594
662,-9,320
662,-8,365
662,-6,137
662,-5,502
662,-4,365
662,-3,1051
662,-2,1096
662,-1,640
663,-20,12
663,-19,159
663,-18,61
663,-17,37
663,-16,49
663,-15,49
663,-14,12
663,-13,49
663,-12,61
663,-11,73
663,-10,159
663,-9,49
663,-8,110
663,-7,12
663,-6,110
663,-5,49
663,-4,73
663,-3,317
663,-2,146
663,-1,134
665,-20,92
665,-19,323
665,-18,139
665,-17,92
665,-16,115
665,-15,92
665,-13,69
665,-12,115
665,-11,46
665,-10,69
665,-9,92
665,-8,23
665,-7,23
665,-6,115
665,-5,46
665,-4,92
665,-3,277
665,-2,346
665,-1,208
668,-20,202
668,-19,606
668,-18,162
668,-17,525
668,-16,525
668,-15,606
668,-14,162
668,-13,323
668,-12,849
668,-11,970
668,-10,445
668,-9,606
668,-8,404
668,-7,323
668,-6,283
668,-5,1293
668,-4,1051
668,-3,2304
668,-2,1980
668,-1,1212
686,-20,19
686,-19,190
686,-18,38
686,-17,57
686,-16,38
686,-15,57
686,-14,57
686,-13,38
686,-12,95
686,-11,152
686,-10,114
686,-9,38
686,-8,95
686,-6,95
686,-5,76
686,-4,247
686,-3,247
686,-2,247
686,-1,95
692,-20,76
692,-19,957
692,-18,504
692,-17,252
692,-16,227
692,-15,151
692,-14,76
692,-13,151
692,-12,277
692,-11,252
692,-10,176
692,-9,252
692,-8,151
692,-7,50
692,-6,126
692,-5,378
692,-4,327
692,-3,932
692,-2,554
692,-1,277
698,-20,13
698,-19,95
698,-18,50
698,-17,69
698,-16,32
698,-15,32
698,-14,19
698,-13,38
698,-12,133
698,-11,38
698,-10,158
698,-9,76
698,-8,32
698,-7,25
698,-6,44
698,-5,44
698,-4,63
698,-3,246
698,-2,177
698,-1,164
723,-20,139
723,-19,650
723,-18,139
723,-17,279
723,-16,186
723,-14,139
723,-13,139
723,-12,279
723,-11,186
723,-10,557
723,-9,139
723,-8,186
723,-7,46
723,-6,186
723,-5,372
723,-4,186
723,-3,789
723,-2,464
723,-1,232
724,-20,95
724,-19,567
724,-18,47
724,-15,284
724,-14,47
724,-13,95
724,-12,189
724,-11,284
724,-10,284
724,-9,47
724,-8,189
724,-7,47
724,-6,47
724,-5,378
724,-4,236
724,-3,615
724,-2,236
724,-1,142
726,-20,36
726,-19,142
726,-18,118
726,-17,130
726,-16,83
726,-15,83
726,-14,24
726,-13,71
726,-12,83
726,-11,47
726,-10,83
726,-9,95
